"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"UPC"	"NIKEPO"	"XCOLORBAR"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5686B7757C04"	"HTTPS://QR.NIKE.COM/04JMR9KJWHWHH"	"1"	"BLUE"	"42" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5686BCCC1804"	"HTTPS://QR.NIKE.COM/04BFRGEYP592G"	"1"	"BLUE"	"43" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56873A713C04"	"HTTPS://QR.NIKE.COM/042SDYPCMTEKR"	"1"	"BLUE"	"44" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568772082404"	"HTTPS://QR.NIKE.COM/04MK443FPHKXJ"	"1"	"BLUE"	"45" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56877C5F8804"	"HTTPS://QR.NIKE.COM/04FZJSNVBPNNF"	"1"	"BLUE"	"46" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5687B87E8404"	"HTTPS://QR.NIKE.COM/04FVNVWM3DJWS"	"1"	"BLUE"	"47" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5687F7420404"	"HTTPS://QR.NIKE.COM/04BRX6X7X8SNK"	"1"	"BLUE"	"48" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56885109AC04"	"HTTPS://QR.NIKE.COM/04W9D6DSE8V4G"	"1"	"BLUE"	"49" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568872232804"	"HTTPS://QR.NIKE.COM/048E664QK779M"	"1"	"BLUE"	"50" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5688A5932004"	"HTTPS://QR.NIKE.COM/049BBYABJYQAQ"	"1"	"BLUE"	"51" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5688B14E0C04"	"HTTPS://QR.NIKE.COM/04E0ABYSY32KV"	"1"	"BLUE"	"52" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5688CCA10804"	"HTTPS://QR.NIKE.COM/04CZZ7RJP3PVF"	"1"	"BLUE"	"53" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5688D0953C04"	"HTTPS://QR.NIKE.COM/04BT27C21P7D3"	"1"	"BLUE"	"54" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5688DBD9CC04"	"HTTPS://QR.NIKE.COM/04XWW69RC8E9X"	"1"	"BLUE"	"55" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568924DA3804"	"HTTPS://QR.NIKE.COM/04MBXDSP4K1J0"	"1"	"BLUE"	"56" 
