"ROUNDQUANT"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"XSIZE2"	"UPC"	"XGENDER1"	"XGENDER2"	"FACTORYCOD"	"COUNTRYCODE"	"XCOLORBAR"	"NIKEPO"	"XSPORT_ACTIVITY2"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C7BF6160004"	"HTTPS://QR.NIKE.COM/0493061HXCRMS"	"2"	"RED"	"47" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6496C6B804"	"HTTPS://QR.NIKE.COM/047466E0SHEE7"	"2"	"RED"	"48" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C73C7B27804"	"HTTPS://QR.NIKE.COM/0421RCC03YKA7"	"2"	"RED"	"49" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C53946C7804"	"HTTPS://QR.NIKE.COM/04PT3Q8JXBFDZ"	"2"	"RED"	"50" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C5102DE4004"	"HTTPS://QR.NIKE.COM/04SQ49SWFQVQB"	"2"	"RED"	"51" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6B392EE004"	"HTTPS://QR.NIKE.COM/04PH5CDH7XDM9"	"2"	"RED"	"52" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4C5C220C04"	"HTTPS://QR.NIKE.COM/04QQYQBBVB83E"	"2"	"RED"	"53" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4948940C04"	"HTTPS://QR.NIKE.COM/04QBVM43WTBJF"	"2"	"RED"	"54" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C5779B00C04"	"HTTPS://QR.NIKE.COM/0477YEV54BR1K"	"2"	"RED"	"55" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C514F645004"	"HTTPS://QR.NIKE.COM/04T8PBTXYVKHC"	"2"	"RED"	"56" 
