"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XRETAIL"	"XSIZE1"	"XSPORT_ACTIVITY1"	"UPC"	"XCOLORBAR"	"NIKEPO"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6306F984DC04"	"HTTPS://QR.NIKE.COM/04PJKRQCYAFP7"	"1"	"WHITE"	"34" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630705AFAC04"	"HTTPS://QR.NIKE.COM/04BGWKQBEYETR"	"1"	"WHITE"	"35" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63070A330C04"	"HTTPS://QR.NIKE.COM/04MRJ1NF1B9EF"	"1"	"WHITE"	"36" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630736BC2404"	"HTTPS://QR.NIKE.COM/046PH2PQXTFX7"	"1"	"WHITE"	"37" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630743010404"	"HTTPS://QR.NIKE.COM/04ME0NST79A3A"	"1"	"WHITE"	"38" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6307BACDC004"	"HTTPS://QR.NIKE.COM/04RTZFDJPGTFP"	"1"	"WHITE"	"39" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6307C3848C04"	"HTTPS://QR.NIKE.COM/04JCHP86KPBV5"	"1"	"WHITE"	"40" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6307F7327C04"	"HTTPS://QR.NIKE.COM/04X6GQXJP20YM"	"1"	"WHITE"	"41" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63081B673804"	"HTTPS://QR.NIKE.COM/04BR5D5057WNE"	"1"	"WHITE"	"42" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63082011C804"	"HTTPS://QR.NIKE.COM/04NE1MFHXT1FM"	"1"	"WHITE"	"43" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63085586B804"	"HTTPS://QR.NIKE.COM/044WKRG1B58BT"	"1"	"WHITE"	"44" 
